"ID","starting","grazing","environmt","rho_plus","rho_plus_ungrazed","q_plus","q_plus_ungrazed","rho_zero","rho_minus"
18,"low",0.05,0.268341708542714,0.319123353293413,0.552292215568862,0.519332039484369,0.617629442840156,0.358498203592814,0.322378443113772
1,"low",0.05,0.2,0.0188263473053892,0.332980439121757,0.399858032978552,0.501495929098095,0.115756487025948,0.865417165668663
11,"low",0.05,0.240201005025126,0.171396407185629,0.48237125748503,0.468791774795377,0.581612086425541,0.276130139720559,0.552473453093812
14,"low",0.05,0.252261306532663,0.236059880239521,0.519539321357285,0.510067635745596,0.606626532897627,0.309540119760479,0.4544
24,"low",0.05,0.292462311557789,0.413498602794411,0.586451896207585,0.571800340260025,0.643466324684432,0.365377245508982,0.221124151696607
27,"low",0.05,0.304522613065327,0.447621556886228,0.61999121756487,0.595522172568141,0.665780006743019,0.36027624750499,0.192102195608782
28,"low",0.05,0.308542713567839,0.479324550898204,0.63364630738523,0.594753374934081,0.680917669521917,0.368234730538922,0.152440718562874
25,"low",0.05,0.296482412060302,0.422736127744511,0.618347305389222,0.567085712610492,0.66644869498949,0.374673852295409,0.20259001996008
26,"low",0.05,0.300502512562814,0.436630738522954,0.620746506986028,0.587749833338273,0.668598643501372,0.364283433133733,0.199085828343313
38,"low",0.05,0.348743718592965,0.565796407185629,0.69292375249501,0.65013660176207,0.72015226453657,0.329320558882236,0.104883033932136
31,"low",0.05,0.320603015075377,0.496463073852295,0.668093413173653,0.616891556936275,0.705323999810828,0.354901397205589,0.148635528942116
30,"low",0.05,0.316582914572864,0.475645508982036,0.646348902195609,0.601554938593965,0.684478413163546,0.361417165668663,0.162937325349301
37,"low",0.05,0.344723618090452,0.540889421157685,0.683848303393214,0.638278905084576,0.716023079397919,0.336261876247505,0.12284870259481
35,"low",0.05,0.336683417085427,0.533421956087824,0.668185229540918,0.634549441068467,0.703785415811688,0.339052295409182,0.127525748502994
33,"low",0.05,0.328643216080402,0.499749301397206,0.667016367265469,0.616416086189156,0.706258229585771,0.352327345309381,0.147923353293413
34,"low",0.05,0.332663316582915,0.538126147704591,0.671663073852295,0.63467674899446,0.706897474782172,0.343201596806387,0.118672255489022
36,"low",0.05,0.34070351758794,0.56060119760479,0.684263473053892,0.649497280827526,0.718983781255378,0.330236327345309,0.1091624750499
32,"low",0.05,0.324623115577889,0.517203992015968,0.655176846307385,0.626175452234908,0.689972139628334,0.346732135728543,0.136063872255489
29,"low",0.05,0.312562814070352,0.468257085828343,0.646689021956088,0.596906556528121,0.687809294745678,0.355187225548902,0.176555688622755
40,"low",0.05,0.35678391959799,0.588154890219561,0.70232255489022,0.669798588483006,0.733549703328033,0.311945708582834,0.0998994011976048
39,"low",0.05,0.352763819095477,0.580571656686627,0.699952095808383,0.665378557589592,0.727330715772205,0.31601756487026,0.103410778443114
45,"low",0.05,0.376884422110553,0.61642874251497,0.726131736526946,0.688367425542667,0.750350903439409,0.298856686626747,0.0847145708582834
41,"low",0.05,0.360804020100503,0.614536526946108,0.712631536926148,0.682824759854763,0.74188781837308,0.30269381237525,0.0827696606786427
43,"low",0.05,0.368844221105528,0.613172055888224,0.721823552894212,0.684914320231443,0.744279045243785,0.302612375249501,0.0842155688622755
42,"low",0.05,0.364824120603015,0.607386826347305,0.708530938123752,0.682439627799648,0.734153733558385,0.303428343313373,0.0891848303393214
