"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
379,"high",TRUE,FALSE,0.033,0.38,0.05,0.1,0.1,0.470083233532934,0.563783008418421,0.38064371257485,0.149273053892216
392,"high",TRUE,FALSE,0.033,0.64,0.05,0.1,0.1,0.747323952095808,0.766789301334291,0.215429740518962,0.0372463073852295
393,"high",TRUE,FALSE,0.033,0.66,0.05,0.1,0.1,0.753904790419162,0.772847849176843,0.209921157684631,0.0361740518962076
385,"high",TRUE,FALSE,0.033,0.5,0.05,0.1,0.1,0.646667065868264,0.685356999488383,0.289312574850299,0.0640203592814371
386,"high",TRUE,FALSE,0.033,0.52,0.05,0.1,0.1,0.662154291417166,0.698044129759907,0.278811377245509,0.0590343313373254
394,"high",TRUE,FALSE,0.033,0.68,0.05,0.1,0.1,0.76717624750499,0.783772415796855,0.199966067864271,0.0328576846307385
395,"high",TRUE,FALSE,0.033,0.7,0.05,0.1,0.1,0.775217365269461,0.790188242755992,0.193230938123752,0.0315516966067864
401,"high",TRUE,FALSE,0.033,0.82,0.05,0.1,0.1,0.81928123752495,0.828718520541208,0.157660079840319,0.0230586826347305
396,"high",TRUE,FALSE,0.033,0.72,0.05,0.1,0.1,0.782125548902196,0.796892639338435,0.187456886227545,0.0304175648702595
397,"high",TRUE,FALSE,0.033,0.74,0.05,0.1,0.1,0.791105988023952,0.803889394872771,0.180166866267465,0.0287271457085828
412,"high",TRUE,FALSE,0.099,0.22,0.05,NA,NA,0,0,0.0900001996007984,0.909999800399202
398,"high",TRUE,FALSE,0.033,0.76,0.05,0.1,0.1,0.798754291417166,0.810807135804563,0.174092415169661,0.0271532934131737
399,"high",TRUE,FALSE,0.033,0.78,0.05,0.1,0.1,0.805047704590818,0.816106073740033,0.168871057884232,0.0260812375249501
384,"high",TRUE,FALSE,0.033,0.48,0.05,0.1,0.1,0.6241375249501,0.669669789577068,0.303498203592814,0.0723642714570858
400,"high",TRUE,FALSE,0.033,0.8,0.05,0.1,0.1,0.81084870259481,0.821101492419209,0.164428542914172,0.024722754491018
368,"low",TRUE,FALSE,0.165,0.98,0.05,0.3,0.3,0.511077245508982,0.584476949449208,0.375081836327345,0.113840918163673
402,"high",TRUE,FALSE,0.033,0.84,0.05,0.1,0.1,0.82344371257485,0.832877250970539,0.153598203592814,0.0229580838323353
411,"high",TRUE,FALSE,0.099,0.2,0.05,NA,NA,0,0,0.0904596806387226,0.909540319361277
369,"low",TRUE,FALSE,0.165,1,0.05,0.3,0.3,0.523307784431138,0.592234215752538,0.369116367265469,0.107575848303393
413,"high",TRUE,FALSE,0.099,0.24,0.05,NA,NA,0,0,0.0904,0.9096
403,"high",TRUE,FALSE,0.033,0.86,0.05,0.1,0.1,0.829568662674651,0.838212368721504,0.148791816367265,0.0216395209580838
405,"high",TRUE,FALSE,0.033,0.9,0.05,0.1,0.1,0.838624151696607,0.845969526495293,0.141233133732535,0.0201427145708583
404,"high",TRUE,FALSE,0.033,0.88,0.05,0.1,0.1,0.832722155688623,0.84098952411038,0.146287225548902,0.0209906187624751
406,"high",TRUE,FALSE,0.033,0.92,0.05,0.1,0.1,0.843461477045908,0.850768623984533,0.137073852295409,0.0194646706586826
383,"high",TRUE,FALSE,0.033,0.46,0.05,0.1,0.1,0.602598403193613,0.653237603055969,0.31826127744511,0.0791403193612774
414,"high",TRUE,FALSE,0.099,0.26,0.05,NA,NA,0,0,0.0900127744510978,0.909987225548902
407,"high",TRUE,FALSE,0.033,0.94,0.05,0.1,0.1,0.846040718562874,0.853097964895067,0.134885429141717,0.0190738522954092
415,"high",TRUE,FALSE,0.099,0.28,0.05,NA,NA,0,0,0.0905035928143713,0.909496407185629
421,"high",TRUE,FALSE,0.099,0.4,0.05,NA,NA,0,0,0.0907323353293413,0.909267664670659
416,"high",TRUE,FALSE,0.099,0.3,0.05,NA,NA,0,0,0.0881407185628743,0.911859281437126
417,"high",TRUE,FALSE,0.099,0.32,0.05,NA,NA,0,0,0.0917874251497006,0.908212574850299
