"ID","starting","grazing","environmt","mort_int","mortality","mortality_border","rho_plus","rho_plus_ungrazed","q_plus","q_plus_ungrazed","rho_zero","rho_minus"
135,"high",0.4,1,0.1,0.137167893686432,0.213204029302857,0.78307012987013,0.856412787212787,0.812560688422326,0.862898227534792,0.183784615384615,0.0331452547452547
142,"high",0.5,0.8,0.1,0.17557376848048,0.254425529994192,0.59690989010989,0.812523876123876,0.690203670477762,0.823278160102358,0.309806993006993,0.0932831168831169
140,"high",0.5,0.6,0.1,NA,NA,0,0.720567432567433,0,0.744904586622811,0.0896755244755245,0.910324475524475
136,"high",0.5,0.2,0.1,NA,NA,0,0,0,0,0.0888583416583417,0.911141658341658
141,"high",0.5,0.7,0.1,0.200622752156769,0.267447880755664,0.396588211788212,0.771285514485515,0.585597715734085,0.787940075673612,0.375188011988012,0.228223776223776
143,"high",0.5,0.9,0.1,0.160784676310461,0.247833035288904,0.689696703296703,0.836845154845155,0.751259567439643,0.845128960712938,0.251349450549451,0.0589538461538462
147,"high",0.6,0.4,0.1,NA,NA,0,0.505955644355644,0,0.588909599198329,0.0916455544455544,0.908354445554446
144,"high",0.5,1,0.1,0.150145280601047,0.242946389502851,0.755575624375624,0.858658941058941,0.796102747382993,0.864468553005674,0.204476723276723,0.0399476523476523
148,"high",0.6,0.5,0.1,NA,NA,0,0.639677122877123,0,0.681730652384769,0.0914021978021978,0.908597802197802
145,"high",0.6,0.2,0.1,NA,NA,0,0,0,0,0.0907972027972028,0.909202797202797
150,"high",0.6,0.7,0.1,NA,NA,0,0.77636043956044,0,0.792685962550277,0.0924523476523477,0.907547652347652
152,"high",0.6,0.9,0.1,0.181667047301624,0.282346998798209,0.630973826173826,0.838837962037962,0.72005564023855,0.846562690681785,0.286796403596404,0.0822297702297702
155,"high",0.7,0.3,0.1,NA,NA,0,0.266302897102897,0,0.46281859775194,0.0933574425574426,0.906642557442557
149,"high",0.6,0.6,0.1,NA,NA,0,0.72113046953047,0,0.746747388886694,0.0931828171828172,0.906817182817183
146,"high",0.6,0.3,0.1,NA,NA,0,0.228055944055944,0,0.458840193182691,0.089420979020979,0.910579020979021
158,"high",0.7,0.6,0.1,NA,NA,0,0.718457542457542,0,0.742983638912556,0.0941118881118881,0.905888111888112
157,"high",0.7,0.5,0.1,NA,NA,0,0.641015384615385,0,0.682094454276205,0.093154045954046,0.906845954045954
156,"high",0.7,0.4,0.1,NA,NA,0,0.514254545454545,0,0.598126451636493,0.092851948051948,0.907148051948052
153,"high",0.6,1,0.1,0.16409700883125,0.273781361556328,0.73056023976024,0.857624775224775,0.781940037860223,0.863857853025578,0.22225974025974,0.04718001998002
151,"high",0.6,0.8,0.1,0.206428922343953,0.294140481194374,0.487914885114885,0.810897502497502,0.633958179141631,0.822164427680016,0.356141458541459,0.155943656343656
154,"high",0.7,0.2,0.1,NA,NA,0,0,0,0,0.0903116883116883,0.909688311688312
160,"high",0.7,0.8,0.1,NA,NA,0,0.810443556443556,0,0.82188961520122,0.0877522477522478,0.912247752247752
162,"high",0.7,1,0.1,0.186374041524981,0.308044606691861,0.673102497502498,0.857406993006993,0.745104218404529,0.863380933528544,0.260501098901099,0.0663964035964036
159,"high",0.7,0.7,0.1,NA,NA,0,0.772867532467532,0,0.788808378396659,0.0959752247752248,0.904024775224775
163,"high",0.8,0.2,0.1,NA,NA,0,0,0,0,0.0887308691308691,0.911269130869131
161,"high",0.7,0.9,0.1,0.210957864998266,0.320825906525369,0.546091508491508,0.837456543456543,0.674218070020193,0.845832455855832,0.330926273726274,0.122982217782218
167,"high",0.8,0.6,0.1,NA,NA,0,0.718440759240759,0,0.743675502073521,0.0924051948051948,0.907594805194805
164,"high",0.8,0.3,0.1,NA,NA,0,0.247043756243756,0,0.449971197849256,0.0939164835164835,0.906083516483516
169,"high",0.8,0.8,0.1,NA,NA,0,0.81048031968032,0,0.821347856763688,0.0901594405594406,0.909840559440559
171,"high",0.8,1,0.1,0.211025823768675,0.344633161011478,0.614307292707293,0.85591008991009,0.715103923008245,0.862359796317217,0.296735264735265,0.0889574425574426
166,"high",0.8,0.5,0.1,NA,NA,0,0.642079120879121,0,0.683357077986338,0.0919440559440559,0.908055944055944
165,"high",0.8,0.4,0.1,NA,NA,0,0.511158841158841,0,0.587699871386304,0.0922869130869131,0.907713086913087
170,"high",0.8,0.9,0.1,NA,0.4137570861678,0.000634965034965035,0.837172027972028,0.11110199324485,0.844776310684179,0.0925842157842158,0.906780819180819
168,"high",0.8,0.7,0.1,NA,NA,0,0.77284035964036,0,0.789335220465219,0.0891764235764236,0.910823576423576
176,"high",0.9,0.6,0.1,NA,NA,0,0.719719080919081,0,0.744252262996914,0.0922537462537463,0.907746253746254
173,"high",0.9,0.3,0.1,NA,NA,0,0.246156243756244,0,0.447003196027231,0.093024975024975,0.906975024975025
172,"high",0.9,0.2,0.1,NA,NA,0,0,0,0,0.0907732267732268,0.909226773226773
