"ID","mortality","environmt","rho_plus","rho_plus_ungrazed","rho_minus","q_plus"
56,0.1,0.421105527638191,0.542447105788423,0,0.350998003992016,0.318465243501677
58,0.1,0.429145728643216,0.551393213572854,0,0.3439249500998,0.313476772417222
60,0.1,0.437185929648241,0.556030339321357,0,0.34029381237525,0.310788858003409
61,0.1,0.441206030150754,0.570255489021956,0,0.332091017964072,0.29998324729917
62,0.1,0.445226130653266,0.584672255489022,0,0.329187225548902,0.29695885748431
63,0.1,0.449246231155779,0.569773253493014,0,0.33390499001996,0.302573862841603
64,0.1,0.453266331658291,0.597741317365269,0,0.321525748502994,0.292100490167265
67,0.1,0.465326633165829,0.612281037924152,0,0.31193373253493,0.286389512976898
65,0.1,0.457286432160804,0.599894610778443,0,0.31762874251497,0.291671190885722
66,0.1,0.461306532663317,0.604257884231537,0,0.314856686626746,0.285923438505698
