"ID","starting","globalgrazing","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
28,"high",TRUE,0,0.95,0.1,0.1,0.1,0.849561676646707,0.855648068877188,0.131615169660679,0.0188231536926148
27,"high",TRUE,0,0.7,0.1,0.1,0.1,0.77118003992016,0.787484195864924,0.19608622754491,0.0327337325349301
33,"high",TRUE,0.02,0.2,0.1,NA,NA,0,0,0.0864367265469062,0.913563273453094
32,"high",TRUE,0.01,0.95,0.1,0.112050303237226,0.112033995598283,0.82940119760479,0.837505382680689,0.148735329341317,0.0218634730538922
31,"high",TRUE,0.01,0.7,0.1,0.113435035621912,0.113423474768338,0.744094211576846,0.763806035735473,0.219061077844311,0.0368447105788423
34,"high",TRUE,0.02,0.45,0.1,NA,NA,0,0,0.0936758483033932,0.906324151696607
30,"high",TRUE,0.01,0.45,0.1,0.12047337461861,0.120481530971338,0.485918562874252,0.57583296820329,0.374108582834331,0.139972854291417
37,"high",TRUE,0.03,0.2,0.1,NA,NA,0,0,0.0893900199600798,0.91060998003992
26,"high",TRUE,0,0.45,0.1,0.1,0.1,0.582954091816367,0.637876813649747,0.33004870259481,0.0869972055888224
38,"high",TRUE,0.03,0.45,0.1,NA,NA,0,0,0.0939600798403194,0.906039920159681
36,"high",TRUE,0.02,0.95,0.1,0.12474101344285,0.124711552086035,0.808435928143713,0.819609588910829,0.166320159680639,0.0252439121756487
35,"high",TRUE,0.02,0.7,0.1,0.12819620801346,0.128245665598809,0.709283033932136,0.735677298292356,0.245091417165669,0.0456255489021956
41,"high",TRUE,0.04,0.2,0.1,NA,NA,0,0,0.0903233532934132,0.909676646706587
42,"high",TRUE,0.04,0.45,0.1,NA,NA,0,0,0.0911353293413174,0.908864670658683
39,"high",TRUE,0.03,0.7,0.1,0.144603208607324,0.144552402741707,0.670300998003992,0.703532320631586,0.272735329341317,0.0569636726546906
45,"high",TRUE,0.05,0.2,0.1,NA,NA,0,0,0.0880079840319361,0.911992015968064
46,"high",TRUE,0.05,0.45,0.1,NA,NA,0,0,0.0869349301397206,0.913065069860279
40,"high",TRUE,0.03,0.95,0.1,0.138102329486805,0.138077140768809,0.78828502994012,0.801531190340668,0.182669860279441,0.0290451097804391
44,"high",TRUE,0.04,0.95,0.1,0.15212187897514,0.151991255886657,0.767429141716567,0.782148746538468,0.201034730538922,0.031536127744511
49,"low",FALSE,0,0.2,0.1,NA,NA,0,0,0.0931704590818363,0.906829540918164
43,"high",TRUE,0.04,0.7,0.1,0.163452539283708,0.163526510195038,0.629299001996008,0.671068307872375,0.30349620758483,0.0672047904191617
48,"high",TRUE,0.05,0.95,0.1,0.167486479165013,0.16749479435707,0.74093253493014,0.75968216983389,0.221340518962076,0.0377269461077844
53,"low",FALSE,0.01,0.2,0.1,NA,NA,0,0,0.0867425149700599,0.91325748502994
55,"low",FALSE,0.01,0.7,0.1,NA,NA,0,0,0.0902962075848303,0.90970379241517
54,"low",FALSE,0.01,0.45,0.1,NA,NA,0,0,0.0923233532934132,0.907676646706587
52,"low",FALSE,0,0.95,0.1,0.1,0.1,0.848947704590818,0.855376098327806,0.133123353293413,0.0179289421157685
51,"low",FALSE,0,0.7,0.1,0.1,0.1,0.769481037924152,0.785183816094554,0.196536526946108,0.0339824351297405
56,"low",FALSE,0.01,0.95,0.1,NA,NA,0,0,0.0900726546906188,0.909927345309381
57,"low",FALSE,0.02,0.2,0.1,NA,NA,0,0,0.0906299401197605,0.90937005988024
