"ID","starting","globalgrazing","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
134,"high",TRUE,0,0.9,0.1,0.1,0.1,0.83975024975025,0.843817643137791,0.142417582417582,0.0178321678321678
137,"high",TRUE,0.15,0.2,0.1,NA,NA,0,0,0.102857142857143,0.897142857142857
136,"high",TRUE,0,1,0.1,0.1,0.1,0.835734265734266,0.841866533736227,0.141178821178821,0.0230869130869131
138,"high",TRUE,0.15,0.25,0.1,NA,NA,0,0,0.0978321678321678,0.902167832167832
139,"high",TRUE,0.15,0.3,0.1,NA,NA,0,0,0.114035964035964,0.885964035964036
141,"high",TRUE,0.15,0.4,0.1,NA,NA,0,0,0.0715184815184815,0.928481518481518
140,"high",TRUE,0.15,0.35,0.1,NA,NA,0,0,0.0873626373626374,0.912637362637363
142,"high",TRUE,0.15,0.45,0.1,NA,NA,0,0,0.0786913086913087,0.921308691308691
143,"high",TRUE,0.15,0.5,0.1,NA,NA,0,0,0.109050949050949,0.890949050949051
144,"high",TRUE,0.15,0.55,0.1,NA,NA,0,0,0.0836963036963037,0.916303696303696
146,"high",TRUE,0.15,0.65,0.1,NA,NA,0,0,0.0919280719280719,0.908071928071928
145,"high",TRUE,0.15,0.6,0.1,NA,NA,0,0,0.0901998001998002,0.9098001998002
147,"high",TRUE,0.15,0.7,0.1,NA,NA,0,0,0.0978821178821179,0.902117882117882
148,"high",TRUE,0.15,0.75,0.1,NA,NA,0,0,0.077972027972028,0.922027972027972
149,"high",TRUE,0.15,0.8,0.1,NA,NA,0,0,0.110539460539461,0.889460539460539
150,"high",TRUE,0.15,0.85,0.1,NA,NA,0,0,0.103016983016983,0.896983016983017
151,"high",TRUE,0.15,0.9,0.1,NA,NA,0,0,0.109150849150849,0.890849150849151
152,"high",TRUE,0.15,0.95,0.1,NA,NA,0,0,0.102077922077922,0.897922077922078
153,"high",TRUE,0.15,1,0.1,NA,NA,0,0,0.0732367632367632,0.926763236763237
154,"high",TRUE,0.3,0.2,0.1,NA,NA,0,0,0.108731268731269,0.891268731268731
155,"high",TRUE,0.3,0.25,0.1,NA,NA,0,0,0.103546453546454,0.896453546453546
156,"high",TRUE,0.3,0.3,0.1,NA,NA,0,0,0.0751548451548452,0.924845154845155
157,"high",TRUE,0.3,0.35,0.1,NA,NA,0,0,0.0876323676323676,0.912367632367632
158,"high",TRUE,0.3,0.4,0.1,NA,NA,0,0,0.0973326673326673,0.902667332667333
159,"high",TRUE,0.3,0.45,0.1,NA,NA,0,0,0.0902297702297702,0.90977022977023
160,"high",TRUE,0.3,0.5,0.1,NA,NA,0,0,0.0796503496503497,0.92034965034965
161,"high",TRUE,0.3,0.55,0.1,NA,NA,0,0,0.0981218781218781,0.901878121878122
163,"high",TRUE,0.3,0.65,0.1,NA,NA,0,0,0.0896903096903097,0.91030969030969
162,"high",TRUE,0.3,0.6,0.1,NA,NA,0,0,0.0743756243756244,0.925624375624376
164,"high",TRUE,0.3,0.7,0.1,NA,NA,0,0,0.0986013986013986,0.901398601398601
165,"high",TRUE,0.3,0.75,0.1,NA,NA,0,0,0.10024975024975,0.89975024975025
166,"high",TRUE,0.3,0.8,0.1,NA,NA,0,0,0.105364635364635,0.894635364635365
167,"high",TRUE,0.3,0.85,0.1,NA,NA,0,0,0.102107892107892,0.897892107892108
168,"high",TRUE,0.3,0.9,0.1,NA,NA,0,0,0.117922077922078,0.882077922077922
169,"high",TRUE,0.3,0.95,0.1,NA,NA,0,0,0.0926773226773227,0.907322677322677
170,"high",TRUE,0.3,1,0.1,NA,NA,0,0,0.0846753246753247,0.915324675324675
171,"high",TRUE,0.45,0.2,0.1,NA,NA,0,0,0.0807492507492508,0.919250749250749
172,"high",TRUE,0.45,0.25,0.1,NA,NA,0,0,0.0998301698301698,0.90016983016983
173,"high",TRUE,0.45,0.3,0.1,NA,NA,0,0,0.0764435564435565,0.923556443556444
174,"high",TRUE,0.45,0.35,0.1,NA,NA,0,0,0.0923676323676324,0.907632367632368
175,"high",TRUE,0.45,0.4,0.1,NA,NA,0,0,0.083016983016983,0.916983016983017
176,"high",TRUE,0.45,0.45,0.1,NA,NA,0,0,0.0878921078921079,0.912107892107892
177,"high",TRUE,0.45,0.5,0.1,NA,NA,0,0,0.101908091908092,0.898091908091908
178,"high",TRUE,0.45,0.55,0.1,NA,NA,0,0,0.0927872127872128,0.907212787212787
179,"high",TRUE,0.45,0.6,0.1,NA,NA,0,0,0.0816983016983017,0.918301698301698
180,"high",TRUE,0.45,0.65,0.1,NA,NA,0,0,0.10998001998002,0.89001998001998
181,"high",TRUE,0.45,0.7,0.1,NA,NA,0,0,0.114655344655345,0.885344655344655
182,"high",TRUE,0.45,0.75,0.1,NA,NA,0,0,0.0734565434565435,0.926543456543457
183,"high",TRUE,0.45,0.8,0.1,NA,NA,0,0,0.094945054945055,0.905054945054945
184,"high",TRUE,0.45,0.85,0.1,NA,NA,0,0,0.0852547452547453,0.914745254745255
185,"high",TRUE,0.45,0.9,0.1,NA,NA,0,0,0.0936163836163836,0.906383616383616
186,"high",TRUE,0.45,0.95,0.1,NA,NA,0,0,0.108521478521479,0.891478521478521
187,"high",TRUE,0.45,1,0.1,NA,NA,0,0,0.0970529470529471,0.902947052947053
188,"high",TRUE,0.6,0.2,0.1,NA,NA,0,0,0.0905994005994006,0.909400599400599
189,"high",TRUE,0.6,0.25,0.1,NA,NA,0,0,0.0748051948051948,0.925194805194805
190,"high",TRUE,0.6,0.3,0.1,NA,NA,0,0,0.0861838161838162,0.913816183816184
191,"high",TRUE,0.6,0.35,0.1,NA,NA,0,0,0.0886413586413586,0.911358641358641
192,"high",TRUE,0.6,0.4,0.1,NA,NA,0,0,0.0718681318681319,0.928131868131868
193,"high",TRUE,0.6,0.45,0.1,NA,NA,0,0,0.115534465534466,0.884465534465534
194,"high",TRUE,0.6,0.5,0.1,NA,NA,0,0,0.0939360639360639,0.906063936063936
195,"high",TRUE,0.6,0.55,0.1,NA,NA,0,0,0.103546453546454,0.896453546453546
196,"high",TRUE,0.6,0.6,0.1,NA,NA,0,0,0.0794605394605395,0.920539460539461
197,"high",TRUE,0.6,0.65,0.1,NA,NA,0,0,0.0964835164835165,0.903516483516484
198,"high",TRUE,0.6,0.7,0.1,NA,NA,0,0,0.101798201798202,0.898201798201798
199,"high",TRUE,0.6,0.75,0.1,NA,NA,0,0,0.0925974025974026,0.907402597402597
200,"high",TRUE,0.6,0.8,0.1,NA,NA,0,0,0.0781118881118881,0.921888111888112
201,"high",TRUE,0.6,0.85,0.1,NA,NA,0,0,0.0919080919080919,0.908091908091908
202,"high",TRUE,0.6,0.9,0.1,NA,NA,0,0,0.102927072927073,0.897072927072927
203,"high",TRUE,0.6,0.95,0.1,NA,NA,0,0,0.0864135864135864,0.913586413586414
204,"high",TRUE,0.6,1,0.1,NA,NA,0,0,0.0894605394605395,0.910539460539461
205,"high",TRUE,0.75,0.2,0.1,NA,NA,0,0,0.101118881118881,0.898881118881119
206,"high",TRUE,0.75,0.25,0.1,NA,NA,0,0,0.0904495504495505,0.90955044955045
207,"high",TRUE,0.75,0.3,0.1,NA,NA,0,0,0.107822177822178,0.892177822177822
208,"high",TRUE,0.75,0.35,0.1,NA,NA,0,0,0.0931268731268731,0.906873126873127
209,"high",TRUE,0.75,0.4,0.1,NA,NA,0,0,0.08003996003996,0.91996003996004
210,"high",TRUE,0.75,0.45,0.1,NA,NA,0,0,0.0923676323676324,0.907632367632368
211,"high",TRUE,0.75,0.5,0.1,NA,NA,0,0,0.101138861138861,0.898861138861139
212,"high",TRUE,0.75,0.55,0.1,NA,NA,0,0,0.091018981018981,0.908981018981019
213,"high",TRUE,0.75,0.6,0.1,NA,NA,0,0,0.090969030969031,0.909030969030969
214,"high",TRUE,0.75,0.65,0.1,NA,NA,0,0,0.0814285714285714,0.918571428571429
215,"high",TRUE,0.75,0.7,0.1,NA,NA,0,0,0.0886913086913087,0.911308691308691
216,"high",TRUE,0.75,0.75,0.1,NA,NA,0,0,0.0973426573426573,0.902657342657343
217,"high",TRUE,0.75,0.8,0.1,NA,NA,0,0,0.115704295704296,0.884295704295704
219,"high",TRUE,0.75,0.9,0.1,NA,NA,0,0,0.0903096903096903,0.90969030969031
218,"high",TRUE,0.75,0.85,0.1,NA,NA,0,0,0.0860539460539461,0.913946053946054
220,"high",TRUE,0.75,0.95,0.1,NA,NA,0,0,0.0761738261738262,0.923826173826174
221,"high",TRUE,0.75,1,0.1,NA,NA,0,0,0.0925874125874126,0.907412587412587
222,"high",TRUE,0.9,0.2,0.1,NA,NA,0,0,0.0925074925074925,0.907492507492508
223,"high",TRUE,0.9,0.25,0.1,NA,NA,0,0,0.0861938061938062,0.913806193806194
224,"high",TRUE,0.9,0.3,0.1,NA,NA,0,0,0.0737062937062937,0.926293706293706
225,"high",TRUE,0.9,0.35,0.1,NA,NA,0,0,0.0945054945054945,0.905494505494505
226,"high",TRUE,0.9,0.4,0.1,NA,NA,0,0,0.0951548451548452,0.904845154845155
227,"high",TRUE,0.9,0.45,0.1,NA,NA,0,0,0.0611388611388611,0.938861138861139
228,"high",TRUE,0.9,0.5,0.1,NA,NA,0,0,0.0816083916083916,0.918391608391608
230,"high",TRUE,0.9,0.6,0.1,NA,NA,0,0,0.0802197802197802,0.91978021978022
229,"high",TRUE,0.9,0.55,0.1,NA,NA,0,0,0.075964035964036,0.924035964035964
231,"high",TRUE,0.9,0.65,0.1,NA,NA,0,0,0.0895104895104895,0.910489510489511
232,"high",TRUE,0.9,0.7,0.1,NA,NA,0,0,0.0792507492507493,0.920749250749251
233,"high",TRUE,0.9,0.75,0.1,NA,NA,0,0,0.0751748251748252,0.924825174825175
234,"high",TRUE,0.9,0.8,0.1,NA,NA,0,0,0.0931968031968032,0.906803196803197
236,"high",TRUE,0.9,0.9,0.1,NA,NA,0,0,0.0804195804195804,0.91958041958042
235,"high",TRUE,0.9,0.85,0.1,NA,NA,0,0,0.0866933066933067,0.913306693306693
237,"high",TRUE,0.9,0.95,0.1,NA,NA,0,0,0.0908091908091908,0.909190809190809
238,"high",TRUE,0.9,1,0.1,NA,NA,0,0,0.0718381618381618,0.928161838161838
