"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","rho_plus_ini","q_plus","rho_zero","rho_minus"
2099,0.3,TRUE,FALSE,0.075,0.675,0.05,0.2,0.2,0.493162674650699,0.2522,0.575449108670792,0.379848902195609,0.126988423153693
2134,0.3,TRUE,FALSE,0.1,0.725,0.05,0.25,0.25,0.384264271457086,0.2499,0.507867835769217,0.412112375249501,0.203623353293413
2106,0.3,TRUE,FALSE,0.075,0.85,0.05,0.2,0.2,0.634554091816367,0.2455,0.674869489120575,0.300077045908184,0.0653688622754491
2104,0.3,TRUE,FALSE,0.075,0.8,0.05,0.2,0.2,0.600556487025948,0.2463,0.649787635163869,0.321608383233533,0.077835129740519
2135,0.3,TRUE,FALSE,0.1,0.75,0.05,0.25,0.25,0.412273453093812,0.242,0.524243633816749,0.408411576846307,0.17931497005988
2146,0.8,TRUE,FALSE,0,0.2,0.05,0.05,0.05,0.353051097804391,0.8184,0.506071155017853,0.37544251497006,0.271506387225549
2136,0.3,TRUE,FALSE,0.1,0.775,0.05,0.25,0.25,0.434725548902196,0.2647,0.536927324746919,0.403427145708583,0.161847305389222
2100,0.3,TRUE,FALSE,0.075,0.7,0.05,0.2,0.2,0.517639920159681,0.2497,0.590466591325759,0.368741916167665,0.113618163672655
2103,0.3,TRUE,FALSE,0.075,0.775,0.05,0.2,0.2,0.58412255489022,0.2692,0.637348203113874,0.332553493013972,0.0833239520958084
2137,0.3,TRUE,FALSE,0.1,0.8,0.05,0.25,0.25,0.473728542914172,0.2469,0.560977772398143,0.390177644710579,0.13609381237525
2147,0.8,TRUE,FALSE,0,0.225,0.05,0.05,0.05,0.431053493013972,0.8101,0.545958913367981,0.377911576846307,0.191034930139721
2101,0.3,TRUE,FALSE,0.075,0.725,0.05,0.2,0.2,0.543123952095808,0.2443,0.607428285091088,0.356411377245509,0.100464670658683
2153,0.8,TRUE,FALSE,0,0.375,0.05,0.05,0.05,0.728363872255489,0.8119,0.752497298172459,0.228704590818363,0.0429315369261477
2154,0.8,TRUE,FALSE,0,0.4,0.05,0.05,0.05,0.748511776447106,0.8073,0.768499785576557,0.213106187624751,0.0383820359281437
2155,0.8,TRUE,FALSE,0,0.425,0.05,0.05,0.05,0.769193213572854,0.8155,0.786642556209519,0.198078243512974,0.0327285429141717
2156,0.8,TRUE,FALSE,0,0.45,0.05,0.05,0.05,0.791249101796407,0.8092,0.804725252957045,0.179563672654691,0.0291872255489022
2102,0.3,TRUE,FALSE,0.075,0.75,0.05,0.2,0.2,0.562666666666667,0.2339,0.622527834657805,0.344499201596806,0.092834131736527
2157,0.8,TRUE,FALSE,0,0.475,0.05,0.05,0.05,0.807141916167665,0.8192,0.819001547586338,0.167533333333333,0.025324750499002
2151,0.8,TRUE,FALSE,0,0.325,0.05,0.05,0.05,0.658135528942116,0.8047,0.695368675564805,0.279584630738523,0.0622798403193613
2152,0.8,TRUE,FALSE,0,0.35,0.05,0.05,0.05,0.69653872255489,0.8089,0.726022473224371,0.252565269461078,0.0508960079840319
2160,0.8,TRUE,FALSE,0,0.55,0.05,0.05,0.05,0.845497005988024,0.8029,0.852767259913249,0.135425149700599,0.0190778443113772
2161,0.8,TRUE,FALSE,0,0.575,0.05,0.05,0.05,0.85359001996008,0.8134,0.86042965737743,0.127987624750499,0.0184223552894212
2138,0.3,TRUE,FALSE,0.1,0.825,0.05,0.25,0.25,0.497942115768463,0.2375,0.5773790587174,0.380110578842315,0.121947305389222
2158,0.8,TRUE,FALSE,0,0.5,0.05,0.05,0.05,0.820609780439122,0.8013,0.830601478545761,0.1558624750499,0.023527744510978
2159,0.8,TRUE,FALSE,0,0.525,0.05,0.05,0.05,0.833507584830339,0.8155,0.842038008154542,0.145407584830339,0.0210848303393214
2145,0.3,TRUE,FALSE,0.1,1,0.05,0.25,0.25,0.621281037924152,0.2355,0.66344988169836,0.309286626746507,0.0694323353293413
