"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","rho_plus_ini","q_plus","rho_zero","rho_minus"
981,0.9,TRUE,FALSE,0.1,0.775,0.05,0.25,0.25,0.447110578842315,0.8379,0.545971877753136,0.398214770459082,0.154674650698603
979,0.9,TRUE,FALSE,0.1,0.725,0.05,0.25,0.25,0.367797205588822,0.8383,0.499569127638093,0.413359281437126,0.218843512974052
945,0.9,TRUE,FALSE,0.075,0.7,0.05,0.2,0.2,0.523384031936128,0.8367,0.593838181608572,0.366266067864271,0.110349900199601
980,0.9,TRUE,FALSE,0.1,0.75,0.05,0.25,0.25,0.417477644710579,0.8415,0.526900967143876,0.407992215568862,0.174530139720559
991,0.25,TRUE,TRUE,0,0.2,0.05,0.05,0.05,0.350016367265469,0.0219,0.501873439831133,0.376674451097804,0.273309181636727
949,0.9,TRUE,FALSE,0.075,0.8,0.05,0.2,0.2,0.599883233532934,0.8363,0.64838015614545,0.322386427145709,0.0777303393213573
992,0.25,TRUE,TRUE,0,0.225,0.05,0.05,0.05,0.435711576846307,0.0185,0.547653374833059,0.376593213572854,0.187695209580838
982,0.9,TRUE,FALSE,0.1,0.8,0.05,0.25,0.25,0.47489121756487,0.8371,0.561246838248665,0.390340119760479,0.134768662674651
997,0.25,TRUE,TRUE,0,0.35,0.05,0.05,0.05,0.689060279441118,0.005,0.721964468361584,0.257163473053892,0.05377624750499
947,0.9,TRUE,FALSE,0.075,0.75,0.05,0.2,0.2,0.566503992015968,0.8332,0.624178507524386,0.343036327345309,0.0904596806387226
1001,0.25,TRUE,TRUE,0,0.45,0.05,0.05,0.05,0.79247744510978,0.0042,0.80552838069061,0.178902395209581,0.0286201596806387
946,0.9,TRUE,FALSE,0.075,0.725,0.05,0.2,0.2,0.544987624750499,0.8412,0.609019565838684,0.354447305389222,0.100565069860279
999,0.25,TRUE,TRUE,0,0.4,0.05,0.05,0.05,0.747269261477046,0.0138,0.768408651895731,0.213977844311377,0.0387528942115768
1000,0.25,TRUE,TRUE,0,0.425,0.05,0.05,0.05,0.770547904191617,0.0082,0.786902408314414,0.196145708582834,0.0333063872255489
998,0.25,TRUE,TRUE,0,0.375,0.05,0.05,0.05,0.728545309381238,0.012,0.751574027396971,0.2293624750499,0.0420922155688623
1002,0.25,TRUE,TRUE,0,0.475,0.05,0.05,0.05,0.807106786427146,0.0102,0.818578515579287,0.167451896207585,0.0254413173652695
1007,0.25,TRUE,TRUE,0,0.6,0.05,0.05,0.05,0.861654491017964,0.0037,0.867563513633634,0.121351896207585,0.0169936127744511
983,0.9,TRUE,FALSE,0.1,0.825,0.05,0.25,0.25,0.495902994011976,0.8351,0.574136775070582,0.380570259481038,0.123526746506986
996,0.25,TRUE,TRUE,0,0.325,0.05,0.05,0.05,0.659117764471058,0.0208,0.698070527849324,0.277988622754491,0.0628936127744511
1005,0.25,TRUE,TRUE,0,0.55,0.05,0.05,0.05,0.845344710578842,0.0152,0.852286964957537,0.135431137724551,0.0192241516966068
1004,0.25,TRUE,TRUE,0,0.525,0.05,0.05,0.05,0.832927145708583,0.0102,0.841903715406063,0.145337724550898,0.021735129740519
1003,0.25,TRUE,TRUE,0,0.5,0.05,0.05,0.05,0.820813972055888,0.0053,0.831556548293689,0.155377644710579,0.0238083832335329
1008,0.25,TRUE,TRUE,0,0.625,0.05,0.05,0.05,0.871408183632735,0.0056,0.876121455232514,0.113354491017964,0.0152373253493014
1006,0.25,TRUE,TRUE,0,0.575,0.05,0.05,0.05,0.853377045908184,0.0031,0.860153056838006,0.128625948103792,0.017997005988024
948,0.9,TRUE,FALSE,0.075,0.775,0.05,0.2,0.2,0.58660379241517,0.8436,0.639600378956855,0.32919620758483,0.0842
1009,0.25,TRUE,TRUE,0,0.65,0.05,0.05,0.05,0.876853493013972,0.013,0.881454592244466,0.108545908183633,0.0146005988023952
1010,0.25,TRUE,TRUE,0,0.675,0.05,0.05,0.05,0.883918562874252,0.0081,0.888073767268091,0.10256626746507,0.0135151696606786
1011,0.25,TRUE,TRUE,0,0.7,0.05,0.05,0.05,0.888954491017964,0.0026,0.892599972443576,0.0981155688622754,0.0129299401197605
989,0.9,TRUE,FALSE,0.1,0.975,0.05,0.25,0.25,0.605029940119761,0.8368,0.651406299463736,0.320199001996008,0.0747710578842315
1013,0.25,TRUE,TRUE,0,0.75,0.05,0.05,0.05,0.898759481037924,0.0082,0.901812142282546,0.0895862275449102,0.0116542914171657
990,0.9,TRUE,FALSE,0.1,1,0.05,0.25,0.25,0.621955089820359,0.836,0.663481513803891,0.309418562874252,0.0686263473053892
995,0.25,TRUE,TRUE,0,0.3,0.05,0.05,0.05,0.617255289421158,0.0079,0.665402582321394,0.306448103792415,0.0762966067864271
1012,0.25,TRUE,TRUE,0,0.725,0.05,0.05,0.05,0.894270858283433,0.0146,0.897652554315761,0.0934610778443114,0.0122680638722555
1024,0.25,TRUE,TRUE,0.025,0.2,0.05,NA,NA,0,0.0115,0,0.0894602794411178,0.910539720558882
1026,0.25,TRUE,TRUE,0.025,0.25,0.05,NA,NA,0,0.0101,0,0.0907251497005988,0.909274850299401
984,0.9,TRUE,FALSE,0.1,0.85,0.05,0.25,0.25,0.522854291417166,0.8387,0.593706197947614,0.368089021956088,0.109056686626747
1025,0.25,TRUE,TRUE,0.025,0.225,0.05,NA,NA,0,5e-04,0,0.0914782435129741,0.908521756487026
1014,0.25,TRUE,TRUE,0,0.775,0.05,0.05,0.05,0.902792015968064,0.0074,0.905529646740351,0.0861453093812375,0.0110626746506986
1015,0.25,TRUE,TRUE,0,0.8,0.05,0.05,0.05,0.907889021956088,0.0206,0.910493660182871,0.0817191616766467,0.0103918163672655
1016,0.25,TRUE,TRUE,0,0.825,0.05,0.05,0.05,0.912561477045908,0.0076,0.914858651732277,0.0777894211576846,0.00964910179640719
1027,0.25,TRUE,TRUE,0.025,0.275,0.05,NA,NA,0,0.0163,0,0.0918590818363273,0.908140918163673
1028,0.25,TRUE,TRUE,0.025,0.3,0.05,NA,NA,0,0.0096,0,0.0908624750499002,0.9091375249501
1031,0.25,TRUE,TRUE,0.025,0.375,0.05,NA,NA,0,0.0106,0,0.0909546906187625,0.909045309381238
1017,0.25,TRUE,TRUE,0,0.85,0.05,0.05,0.05,0.913530738522954,0.0094,0.915686268016032,0.0767335329341317,0.00973572854291417
1019,0.25,TRUE,TRUE,0,0.9,0.05,0.05,0.05,0.91890119760479,0.0093,0.92072101330884,0.0717610778443114,0.0093377245508982
1018,0.25,TRUE,TRUE,0,0.875,0.05,0.05,0.05,0.917541716566866,0.0107,0.919404436227131,0.0732908183632734,0.00916746506986028
1020,0.25,TRUE,TRUE,0,0.925,0.05,0.05,0.05,0.922680638722555,0.0034,0.924281619392772,0.0690085828343313,0.00831077844311377
1022,0.25,TRUE,TRUE,0,0.975,0.05,0.05,0.05,0.927736926147705,0.0038,0.929326398378042,0.0643441117764471,0.0079189620758483
1023,0.25,TRUE,TRUE,0,1,0.05,0.05,0.05,0.929983033932136,0.0199,0.931343248520334,0.0623994011976048,0.00761756487025948
1030,0.25,TRUE,TRUE,0.025,0.35,0.05,NA,NA,0,0.0175,0,0.0908834331337325,0.909116566866268
1029,0.25,TRUE,TRUE,0.025,0.325,0.05,NA,NA,0,0.0028,0,0.0916510978043912,0.908348902195609
1021,0.25,TRUE,TRUE,0,0.95,0.05,0.05,0.05,0.925127744510978,0.0111,0.926821065572762,0.0665071856287425,0.00836506986027944
1032,0.25,TRUE,TRUE,0.025,0.4,0.05,NA,NA,0,0.0142,0,0.0911632734530938,0.908836726546906
1033,0.25,TRUE,TRUE,0.025,0.425,0.05,NA,NA,0,0.0091,0,0.0905439121756487,0.909456087824351
1039,0.25,TRUE,TRUE,0.025,0.575,0.05,NA,NA,0,0.0143,0,0.0896606786427146,0.910339321357285
993,0.25,TRUE,TRUE,0,0.25,0.05,0.05,0.05,0.509091816367265,0.0122,0.590124705547703,0.357724750499002,0.133183433133733
1035,0.25,TRUE,TRUE,0.025,0.475,0.05,NA,NA,0,0.0047,0,0.0911217564870259,0.908878243512974
1034,0.25,TRUE,TRUE,0.025,0.45,0.05,NA,NA,0,0.0173,0,0.090909381237525,0.909090618762475
1036,0.25,TRUE,TRUE,0.025,0.5,0.05,NA,NA,0,0.0038,0,0.0903369261477046,0.909663073852295
1037,0.25,TRUE,TRUE,0.025,0.525,0.05,NA,NA,0,0.0027,0,0.0903289421157685,0.909671057884232
1038,0.25,TRUE,TRUE,0.025,0.55,0.05,NA,NA,0,0.0135,0,0.0908930139720559,0.909106986027944
1040,0.25,TRUE,TRUE,0.025,0.6,0.05,NA,NA,0,0.009,0,0.0921017964071856,0.907898203592814
1041,0.25,TRUE,TRUE,0.025,0.625,0.05,NA,NA,0,0.0114,0,0.0901884231536926,0.909811576846307
1042,0.25,TRUE,TRUE,0.025,0.65,0.05,NA,NA,0,0.0103,0,0.0898940119760479,0.910105988023952
1043,0.25,TRUE,TRUE,0.025,0.675,0.05,NA,NA,0,0.0088,0,0.0898670658682635,0.910132934131737
1044,0.25,TRUE,TRUE,0.025,0.7,0.05,NA,NA,0,0.0119,0,0.0907081836327345,0.909291816367265
988,0.9,TRUE,FALSE,0.1,0.95,0.05,0.25,0.25,0.592247904191617,0.8404,0.641718798089056,0.328717564870259,0.0790345309381238
1045,0.25,TRUE,TRUE,0.025,0.725,0.05,NA,NA,0,0.0115,0,0.0901055888223553,0.909894411177645
1046,0.25,TRUE,TRUE,0.025,0.75,0.05,NA,NA,0,0.0133,0,0.0919025948103792,0.908097405189621
1051,0.25,TRUE,TRUE,0.025,0.875,0.05,NA,NA,0,0.0171,0,0.0906297405189621,0.909370259481038
1047,0.25,TRUE,TRUE,0.025,0.775,0.05,NA,NA,0,0.006,0,0.0923512974051896,0.90764870259481
1048,0.25,TRUE,TRUE,0.025,0.8,0.05,NA,NA,0,0.0136,0,0.0906830339321357,0.909316966067864
1052,0.25,TRUE,TRUE,0.025,0.9,0.05,NA,NA,0,0.011,0,0.0921189620758483,0.907881037924152
1049,0.25,TRUE,TRUE,0.025,0.825,0.05,NA,NA,0,0.0173,0,0.0903347305389222,0.909665269461078
1050,0.25,TRUE,TRUE,0.025,0.85,0.05,NA,NA,0,0.0181,0,0.0898235528942116,0.910176447105788
1053,0.25,TRUE,TRUE,0.025,0.925,0.05,NA,NA,0,0.0079,0,0.0891167664670659,0.910883233532934
1055,0.25,TRUE,TRUE,0.025,0.975,0.05,NA,NA,0,0.009,0,0.0922063872255489,0.907793612774451
1054,0.25,TRUE,TRUE,0.025,0.95,0.05,NA,NA,0,0.0065,0,0.0900744510978044,0.909925548902196
1056,0.25,TRUE,TRUE,0.025,1,0.05,NA,NA,0,0.02,0,0.0901287425149701,0.90987125748503
1057,0.25,TRUE,TRUE,0.05,0.2,0.05,NA,NA,0,0.0047,0,0.0909502994011976,0.909049700598802
1058,0.25,TRUE,TRUE,0.05,0.225,0.05,NA,NA,0,0.0062,0,0.0915810379241517,0.908418962075848
1059,0.25,TRUE,TRUE,0.05,0.25,0.05,NA,NA,0,0.0126,0,0.0914606786427146,0.908539321357285
1060,0.25,TRUE,TRUE,0.05,0.275,0.05,NA,NA,0,0.0085,0,0.0904333333333333,0.909566666666667
