"ID","starting","globalgrazing","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
1809,"high",FALSE,0.015,1,0.1,0.118213245338608,0.136401985960456,0.823611177644711,0.839569665120232,0.153086626746507,0.0233021956087824
1802,"high",FALSE,0.015,0.72,0.1,0.120751108222387,0.13128949196277,0.722898003992016,0.758903543002615,0.232083033932136,0.0450189620758483
1792,"high",FALSE,0.015,0.48,0.1,0.135905585587351,0.140363716356464,0.417860678642715,0.564275635284106,0.380913173652695,0.201226147704591
1800,"high",FALSE,0.015,0.64,0.1,0.122419263172838,0.130657409577257,0.669115169660679,0.716555995349187,0.270769660678643,0.0601151696606786
1801,"high",FALSE,0.015,0.68,0.1,0.121357895117496,0.130924148947591,0.702368862275449,0.742136246102843,0.247710179640719,0.0499209580838323
1812,"high",FALSE,0.02,0.28,0.1,NA,NA,0,0,0.092740119760479,0.907259880239521
1813,"high",FALSE,0.02,0.32,0.1,NA,NA,0,0,0.0914832335329341,0.908516766467066
1816,"high",FALSE,0.02,0.42,0.1,NA,NA,0,0,0.0906051896207585,0.909394810379242
1814,"high",FALSE,0.02,0.36,0.1,NA,NA,0,0,0.090485628742515,0.909514371257485
1815,"high",FALSE,0.02,0.4,0.1,NA,NA,0,0,0.0896848303393214,0.910315169660679
1819,"high",FALSE,0.02,0.48,0.1,NA,NA,0,0,0.0903878243512974,0.909612175648703
1817,"high",FALSE,0.02,0.44,0.1,NA,NA,0,0,0.090584630738523,0.909415369261477
1818,"high",FALSE,0.02,0.46,0.1,NA,NA,0,0,0.0903309381237525,0.909669061876248
1820,"high",FALSE,0.02,0.5,0.1,NA,NA,0,0,0.0913944111776447,0.908605588822355
1767,"high",FALSE,0.01,0.52,0.1,0.117102827712942,0.121029545353877,0.584815169660679,0.652939791659206,0.32542754491018,0.0897572854291417
1798,"high",FALSE,0.015,0.6,0.1,0.123550840254205,0.13092207123754,0.636962275449102,0.693478235630134,0.293290219560878,0.06974750499002
1799,"high",FALSE,0.015,0.6,0.1,0.123569877678737,0.13082929106765,0.636476646706587,0.692693177156829,0.293068063872255,0.0704552894211577
1797,"high",FALSE,0.015,0.58,0.1,0.124626042586446,0.131345830198634,0.609186826347305,0.675320974080803,0.30901497005988,0.0817982035928144
1793,"high",FALSE,0.015,0.5,0.1,0.13111702125473,0.136042229996746,0.482076047904192,0.59760741577449,0.368520159680639,0.14940379241517
1833,"high",FALSE,0.02,0.88,0.1,0.125765327015792,0.144352687312886,0.77626127744511,0.802330262847253,0.19078003992016,0.0329586826347305
1834,"high",FALSE,0.02,0.92,0.1,0.125371591546221,0.145186285078575,0.78831377245509,0.811748024579888,0.181129740518962,0.0305564870259481
1837,"high",FALSE,0.025,0.2,0.1,NA,NA,0,0,0.0916403193612775,0.908359680638723
1830,"high",FALSE,0.02,0.76,0.1,0.127610094162359,0.141980990656287,0.724362075848303,0.76187610866499,0.230833932135729,0.0448039920159681
1832,"high",FALSE,0.02,0.84,0.1,0.126284021227087,0.143429301016313,0.760958083832335,0.790244270201073,0.202197804391218,0.0368441117764471
1831,"high",FALSE,0.02,0.8,0.1,0.126899380761124,0.14259875050374,0.743564471057884,0.776236803097494,0.216147305389222,0.0402882235528942
