"ID","starting","grazing","g","b","m0","g_gr","m0_gr","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
22,"low",FALSE,0,0.725,0.1,0,0.1,0.1,0.1,0.785712574850299,0.798775232446086,0.184752095808383,0.0295353293413174
21,"low",FALSE,0,0.7,0.1,0,0.1,0.1,0.1,0.77469620758483,0.790998125755933,0.192775249500998,0.0325285429141717
24,"low",FALSE,0,0.775,0.1,0,0.1,0.1,0.1,0.803315768463074,0.81531099506475,0.170170858283433,0.026513373253493
23,"low",FALSE,0,0.75,0.1,0,0.1,0.1,0.1,0.79574371257485,0.80743545466694,0.177671856287425,0.0265844311377246
25,"low",FALSE,0,0.8,0.1,0,0.1,0.1,0.1,0.80924630738523,0.82026990920934,0.16539880239521,0.0253548902195609
26,"low",FALSE,0,0.825,0.1,0,0.1,0.1,0.1,0.819433133732535,0.82895099540247,0.157811576846307,0.0227552894211577
27,"low",FALSE,0,0.85,0.1,0,0.1,0.1,0.1,0.824583632734531,0.833505798213905,0.152602794411178,0.0228135728542914
28,"low",FALSE,0,0.875,0.1,0,0.1,0.1,0.1,0.83217005988024,0.840229720598996,0.146805588822355,0.0210243512974052
30,"low",TRUE,0,0.925,0.1,0,0.1,0.1,0.1,0.841736526946108,0.848678182725807,0.138335329341317,0.0199281437125748
31,"low",TRUE,0,0.95,0.1,0,0.1,0.1,0.1,0.847655089820359,0.85454765552684,0.133201596806387,0.0191433133732535
29,"low",FALSE,0,0.9,0.1,0,0.1,0.1,0.1,0.839035528942116,0.847129557283087,0.140496606786427,0.0204678642714571
34,"low",TRUE,0.025,0.2,0.1,0.025,0.1,NA,NA,0,NA,0.0936758483033932,0.906324151696607
35,"low",TRUE,0.025,0.225,0.1,0.025,0.1,NA,NA,0,NA,0.091284630738523,0.908715369261477
36,"low",TRUE,0.025,0.25,0.1,0.025,0.1,NA,NA,0,NA,0.0908119760479042,0.909188023952096
32,"low",TRUE,0,0.975,0.1,0,0.1,0.1,0.1,0.853282235528942,0.859228066923237,0.128709780439122,0.0180079840319361
37,"low",TRUE,0.025,0.275,0.1,0.025,0.1,NA,NA,0,NA,0.0893900199600798,0.91060998003992
33,"low",TRUE,0,1,0.1,0,0.1,0.1,0.1,0.856802395209581,0.862436787252471,0.125367664670659,0.0178299401197605
38,"low",TRUE,0.025,0.3,0.1,0.025,0.1,0.115289859009725,0.115465864908902,0.00755209580838323,0.388710303490539,0.104666666666667,0.88778123752495
39,"low",TRUE,0.025,0.325,0.1,0.025,0.1,0.114022706066878,0.114620037176481,0.16019880239521,0.439126396311175,0.288229141716567,0.551572055888224
30,"low",FALSE,0,0.925,0.1,0,0.1,0.1,0.1,0.846298602794411,0.853103538591126,0.134872654690619,0.0188287425149701
31,"low",FALSE,0,0.95,0.1,0,0.1,0.1,0.1,0.852195608782435,0.858533523945131,0.129782035928144,0.0180223552894212
34,"low",FALSE,0,0.2,0.1,0.025,0.1,0.1,0.1,0,NA,0.0908534930139721,0.909146506986028
35,"low",FALSE,0,0.225,0.1,0.025,0.1,0.1,0.1,0,NA,0.0924878243512974,0.907512175648703
40,"low",TRUE,0.025,0.35,0.1,0.025,0.1,0.113151028197103,0.113889509890483,0.283326946107784,0.474063514810819,0.375120958083832,0.341552095808383
36,"low",FALSE,0,0.25,0.1,0.025,0.1,0.1,0.1,0,NA,0.0899129740518962,0.910087025948104
37,"low",FALSE,0,0.275,0.1,0.025,0.1,0.1,0.1,0.079564870259481,0.406775432081158,0.198287425149701,0.722147704590818
