"ID","starting","grazing","environmt","mortality","mortality_border","rho_plus","rho_plus_ungrazed","q_plus","q_plus_ungrazed","rho_zero","rho_minus"
761,"low",0.025,0.84321608040201,0.0153178667547224,0.015737229615887,0.720644855144855,0.729712787212787,0.746026619206741,0.751977052751275,0.235907892107892,0.0434472527472527
757,"low",0.025,0.82713567839196,0.0153246769620378,0.0157385541974638,0.713607492507493,0.724235864135864,0.74012704934512,0.747423521943256,0.241998701298701,0.0443938061938062
760,"low",0.025,0.839195979899497,0.0153169056527072,0.0157365155655871,0.720836463536464,0.729213286713287,0.745960246575223,0.75169526495196,0.235923076923077,0.0432404595404595
762,"low",0.025,0.847236180904523,0.0153135048316439,0.0157345656203821,0.724295304695305,0.729967532467532,0.749003397682042,0.752483408951134,0.233041058941059,0.0426636363636364
763,"low",0.025,0.851256281407035,0.015313331920539,0.0157343962827293,0.725456243756244,0.733878621378621,0.749504965419754,0.755533887256272,0.23296023976024,0.0415835164835165
764,"low",0.025,0.855276381909548,0.0153095843695497,0.0157324660032091,0.728503196803197,0.732683116883117,0.75222909218236,0.754856829941223,0.229852547452547,0.0416442557442557
766,"low",0.025,0.863316582914573,0.0153067932635494,0.0157321629910771,0.730491208791209,0.739392307692308,0.754015159379579,0.760243823918506,0.228743956043956,0.0407648351648352
768,"low",0.025,0.871356783919598,0.0153051337393634,0.0157305484593716,0.73354035964036,0.742092907092907,0.756599358779617,0.762285364872884,0.22606953046953,0.0403901098901099
765,"low",0.025,0.85929648241206,0.0153067943791269,0.0157319074650608,0.729749450549451,0.737065734265734,0.753705365467081,0.758403344406892,0.22884025974026,0.0414102897102897
769,"low",0.025,0.875376884422111,0.0153008063744244,0.0157293399144177,0.737190809190809,0.743077522477522,0.759511027732758,0.763275722516809,0.223646653346653,0.0391625374625375
770,"low",0.025,0.879396984924623,0.0152998553606978,0.0157283885722488,0.737292507492508,0.745236363636364,0.759610394469201,0.764368783043676,0.223730569430569,0.0389769230769231
767,"low",0.025,0.867336683417085,0.0153055531338402,0.0157310946933541,0.731431868131868,0.74041988011988,0.754645733098991,0.760591457262778,0.228217782217782,0.0403503496503496
771,"low",0.025,0.883417085427136,0.0152981852896864,0.015728357679584,0.738066133866134,0.744690809190809,0.759771830120472,0.764679855560977,0.222421478521479,0.0395123876123876
772,"low",0.025,0.887437185929648,0.0152956408017979,0.0157264706291649,0.742205994005994,0.745574425574426,0.763199286606896,0.765180819808366,0.219364835164835,0.0384291708291708
777,"low",0.025,0.907537688442211,0.0152870943935443,0.0157235282715125,0.749438161838162,0.755031368631369,0.769973792021649,0.773392028200485,0.21426973026973,0.0362921078921079
773,"low",0.025,0.891457286432161,0.015296021647194,0.0157280899731032,0.742295704295704,0.747790809190809,0.763535089979253,0.766899224677905,0.219567632367632,0.0381366633366633
774,"low",0.025,0.895477386934673,0.01529334495067,0.0157252878105306,0.743024475524475,0.750049150849151,0.764452213926292,0.768500138850456,0.218680919080919,0.0382946053946054
779,"low",0.025,0.915577889447236,0.0152868378212497,0.0157234875583905,0.750007692307692,0.757561238761239,0.770392111286486,0.774874123873578,0.213235964035964,0.0367563436563437
780,"low",0.025,0.919597989949749,0.0152853512921272,0.0157233403276995,0.751507792207792,0.758871328671329,0.771523487263147,0.776914908048887,0.212271328671329,0.0362208791208791
781,"low",0.025,0.923618090452261,0.0152843493703863,0.0157223599486379,0.752712587412587,0.7598997002997,0.772491752726096,0.77685186614771,0.21115964035964,0.0361277722277722
775,"low",0.025,0.899497487437186,0.0152933758363207,0.0157255638660958,0.74510959040959,0.750011788211788,0.766067180890523,0.76886605131467,0.217393706293706,0.0374967032967033
783,"low",0.025,0.931658291457287,0.015281176058623,0.0157214646277443,0.755656843156843,0.762565134865135,0.774968836157462,0.779784708790331,0.208931968031968,0.0354111888111888
778,"low",0.025,0.911557788944724,0.0152901388582098,0.0157246188723813,0.748552947052947,0.755237762237762,0.76875523461825,0.773499345181322,0.214796103896104,0.0366509490509491
776,"low",0.025,0.903517587939699,0.0152933493709388,0.0157254760437908,0.744715584415584,0.750123176823177,0.765792720616925,0.76921960921081,0.21745034965035,0.0378340659340659
782,"low",0.025,0.927638190954774,0.0152819480536602,0.0157217445527362,0.754964935064935,0.761413986013986,0.774151958871202,0.779100735580477,0.210397202797203,0.0346378621378621
785,"low",0.025,0.939698492462312,0.0152764667910967,0.0157189153925698,0.758311588411588,0.765957942057942,0.777626822881853,0.782707355472571,0.206408491508491,0.0352799200799201
